X=103.934 Y=69.446 Z=-15.000,X=0.835 Y=0.559 Z=-0.016,X=0.451 Y=0.200
X=103.934 Y=69.446 Z=-25.000,X=0.850 Y=0.528 Z=-0.016,X=0.451 Y=0.250
X=115.485 Y=47.835 Z=-15.000,X=0.921 Y=0.378 Z=-0.008,X=0.467 Y=0.200
X=115.485 Y=47.835 Z=-25.000,X=0.937 Y=0.354 Z=-0.016,X=0.467 Y=0.250
X=122.598 Y=24.386 Z=-15.000,X=0.984 Y=0.197 Z=-0.016,X=0.482 Y=0.200
X=122.598 Y=24.386 Z=-25.000,X=0.984 Y=0.157 Z=-0.008,X=0.482 Y=0.250
X=125.000 Y=0.000 Z=-15.000,X=1.000 Y=-0.008 Z=-0.008,X=0.498 Y=0.200
X=125.000 Y=0.000 Z=-25.000,X=1.000 Y=-0.047 Z=-0.016,X=0.498 Y=0.250
X=-100.037 Y=-0.586 Z=-54.189,X=1.000 Y=-0.008 Z=-0.008,X=0.502 Y=0.052
X=-100.277 Y=-3.025 Z=-24.189,X=0.984 Y=-0.173 Z=-0.008,X=0.517 Y=0.002
X=-100.037 Y=-0.586 Z=-24.189,X=1.000 Y=0.031 Z=-0.016,X=0.502 Y=0.002
X=-100.277 Y=-3.025 Z=-54.189,X=0.976 Y=-0.205 Z=-0.008,X=0.517 Y=0.052
X=-100.037 Y=-0.586 Z=-84.189,X=1.000 Y=-0.008 Z=-0.008,X=0.502 Y=0.101
X=-100.988 Y=-5.370 Z=-24.189,X=0.929 Y=-0.362 Z=-0.008,X=0.533 Y=0.002
X=-100.277 Y=-3.025 Z=-84.189,X=0.976 Y=-0.205 Z=-0.008,X=0.517 Y=0.101
X=-100.037 Y=-0.586 Z=-114.189,X=1.000 Y=-0.008 Z=-0.008,X=0.502 Y=0.151
X=-100.988 Y=-5.370 Z=-54.189,X=0.921 Y=-0.394 Z=-0.008,X=0.533 Y=0.052
X=-102.143 Y=-7.531 Z=-24.189,X=0.843 Y=-0.535 Z=-0.008,X=0.548 Y=0.002
X=-100.277 Y=-3.025 Z=-114.189,X=0.976 Y=-0.205 Z=-0.008,X=0.517 Y=0.151
X=-100.037 Y=-0.586 Z=-144.189,X=1.000 Y=-0.008 Z=-0.008,X=0.502 Y=0.200
X=-100.988 Y=-5.370 Z=-84.189,X=0.921 Y=-0.394 Z=-0.008,X=0.533 Y=0.101
X=-102.143 Y=-7.531 Z=-54.189,X=0.827 Y=-0.567 Z=-0.008,X=0.548 Y=0.052
X=-103.698 Y=-9.425 Z=-24.189,X=0.724 Y=-0.693 Z=-0.008,X=0.564 Y=0.002
X=-100.277 Y=-3.025 Z=-144.189,X=0.976 Y=-0.205 Z=-0.008,X=0.517 Y=0.200
X=-100.037 Y=-0.586 Z=-174.189,X=1.000 Y=-0.047 Z=-0.016,X=0.502 Y=0.250
X=-100.277 Y=-3.025 Z=-174.189,X=0.969 Y=-0.236 Z=-0.008,X=0.517 Y=0.250
X=-103.698 Y=-9.425 Z=-54.189,X=0.701 Y=-0.717 Z=-0.008,X=0.564 Y=0.052
X=-105.592 Y=-10.980 Z=-24.189,X=0.567 Y=-0.819 Z=0.000,X=0.579 Y=0.002
